informal,formal,input_processed,target_processed
तु काय करतोस?,आपण काय करत आहात?,तु काय आहे करतोस,आपण काय आहे करत आहात
काय चाललंय?,आपण कसे आहात?,सध्या काय सुरू आहे?,आपण कसे आहात
चल निघूया.,आपण आता निघूया.,चला निघूया,आपण आता निघूया
हे मस्त आहे!,हे खूप छान आहे.,हे छान आहे,हे अत्यंत छान आहे
बघितलंस का?,आपण पाहिले का?,बघितलंस का,आपण पाहिले का
सांग ना मला!,कृपया मला सांगा.,कृपया सांगा कृपया माझ्यासाठी,कृपया माझ्यासाठी सांगा
काय रे हाच का?,हा व्यक्ती हाच आहे का?,काय आहे महोदय हाच का,हा व्यक्ती हाच आहे का
अजून वेळ लागेल का?,यासाठी अजून वेळ लागेल का?,अजून वेळ लागेल का,यासाठी अजून वेळ लागेल का
खूप भूक लागलीय.,मला खूप भूक लागली आहे.,अत्यंत भूक लागलीय,माझ्यासाठी अत्यंत भूक लागली आहे
चल भेटू नंतर.,आपणास नंतर भेटूया.,चला भेटूया पश्चात,आपणास पश्चात भेटूया
माझं काम झालं.,माझं काम पूर्ण झाले आहे.,माझं काम झाले आहे,माझं काम पूर्ण झाले आहे
कधी येणार?,आपण कधी येणार आहात?,कधी येणार,आपण कधी येणार आहात
हा भारी आहे!,हा खूप चांगला आहे.,हा छान आहे,हा अत्यंत चांगला आहे
थांब जरा!,कृपया थोडा वेळ थांबा.,थांबा जरा,कृपया थोडा वेळ थांबा
मस्त चाललंय!,सर्व काही व्यवस्थित चालले आहे.,छान चाललंय,सर्व काही व्यवस्थित चालले आहे
आज काय प्लॅन?,आजची आपली योजना काय आहे?,आज काय आहे प्लॅन,आजची आपली योजना काय आहे आहे
फार उशीर झालाय.,फार उशीर झाला आहे.,फार उशीर झालाय,फार उशीर झाला आहे
तु कुठे जाणार?,आपण कुठे जाणार आहात?,तु कुठे जाणार,आपण कुठे जाणार आहात
नाही जमणार मला.,मला ते शक्य होणार नाही.,नाही जमणार माझ्यासाठी,माझ्यासाठी ते शक्य होणार नाही
छान दिसतेस!,आपण खूप छान दिसत आहात.,छान दिसतेस,आपण अत्यंत छान दिसत आहात
लवकर कर ना!,कृपया लवकर करा.,लवकर कर कृपया,कृपया लवकर करा
झालं का तुझं?,आपले काम पूर्ण झाले का?,झाले आहे का तुझं,आपले काम पूर्ण झाले का
